In this file is computed:
DUT_result - C_prog_result
185 - 66 = 119
202 - 76 = 126
245 - 185 = 60
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-250 - -188 = -62
-257 - -206 = -51
-217 - -250 = 33
-210 - -257 = 47
-101 - -217 = 116
-84 - -210 = 126
52 - -101 = 153
74 - -84 = 158
185 - 52 = 133
202 - 74 = 128
245 - 185 = 60
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
51 - -102 = 153
73 - -85 = 158
184 - 51 = 133
202 - 73 = 129
245 - 184 = 61
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-250 - -188 = -62
-257 - -206 = -51
-217 - -250 = 33
-210 - -257 = 47
-101 - -217 = 116
-84 - -210 = 126
52 - -101 = 153
74 - -84 = 158
185 - 52 = 133
202 - 74 = 128
245 - 185 = 60
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-250 - -188 = -62
-257 - -206 = -51
-217 - -250 = 33
-210 - -257 = 47
-101 - -217 = 116
-84 - -210 = 126
52 - -101 = 153
74 - -84 = 158
185 - 52 = 133
202 - 74 = 128
245 - 185 = 60
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
51 - -102 = 153
73 - -85 = 158
184 - 51 = 133
202 - 73 = 129
245 - 184 = 61
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
51 - -102 = 153
73 - -85 = 158
184 - 51 = 133
202 - 73 = 129
245 - 184 = 61
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
51 - -102 = 153
73 - -85 = 158
184 - 51 = 133
202 - 73 = 129
245 - 184 = 61
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
51 - -102 = 153
73 - -85 = 158
184 - 51 = 133
202 - 73 = 129
245 - 184 = 61
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
51 - -102 = 153
73 - -85 = 158
184 - 51 = 133
202 - 73 = 129
245 - 184 = 61
252 - 202 = 50
213 - 245 = -32
207 - 252 = -45
98 - 213 = -115
80 - 207 = -127
-56 - 98 = -154
-77 - 80 = -157
-188 - -56 = -132
-206 - -77 = -129
-249 - -188 = -61
-256 - -206 = -50
-217 - -249 = 32
-211 - -256 = 45
-102 - -217 = 115
-85 - -211 = 126
