In this file is computed:
DUT_result - C_prog_result
66 - 66 = 0
76 - 76 = 0
185 - 185 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-250 - -250 = 0
-257 - -257 = 0
-217 - -217 = 0
-210 - -210 = 0
-101 - -101 = 0
-84 - -84 = 0
52 - 52 = 0
74 - 74 = 0
185 - 185 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
51 - 51 = 0
73 - 73 = 0
184 - 184 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-250 - -250 = 0
-257 - -257 = 0
-217 - -217 = 0
-210 - -210 = 0
-101 - -101 = 0
-84 - -84 = 0
52 - 52 = 0
74 - 74 = 0
185 - 185 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-250 - -250 = 0
-257 - -257 = 0
-217 - -217 = 0
-210 - -210 = 0
-101 - -101 = 0
-84 - -84 = 0
52 - 52 = 0
74 - 74 = 0
185 - 185 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
51 - 51 = 0
73 - 73 = 0
184 - 184 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
51 - 51 = 0
73 - 73 = 0
184 - 184 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
51 - 51 = 0
73 - 73 = 0
184 - 184 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
51 - 51 = 0
73 - 73 = 0
184 - 184 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
51 - 51 = 0
73 - 73 = 0
184 - 184 = 0
202 - 202 = 0
245 - 245 = 0
252 - 252 = 0
213 - 213 = 0
207 - 207 = 0
98 - 98 = 0
80 - 80 = 0
-56 - -56 = 0
-77 - -77 = 0
-188 - -188 = 0
-206 - -206 = 0
-249 - -249 = 0
-256 - -256 = 0
-217 - -217 = 0
-211 - -211 = 0
-102 - -102 = 0
-85 - -85 = 0
